Mixing_Speed_RPM,Reducing_Agent_NaBH4,Reducing_Agent_ascorbic_acid,Reducing_Agent_citrate,Stabilizer_CTAB,Stabilizer_PEG,Stabilizer_PVP,Stabilizer_citrate,Precursor_Conc_mM,pH,Temperature_C,Reaction_Time_min,Particle_Size_nm,Zeta_Potential_mV,Polydispersity,Drug_Loading_Efficiency_%,Targeting_Efficiency_%,Cytotoxicity_%
0.6191,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.381430288849055,11.0,66.0,5.0,25.0,0.28075763054651603,0.40792512519108826,0.9641740802935813,0.8007362600829618,0.36737955680380685
0.5964,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.2234065173412123,7.5,44.0,7.0,20.0,0.7437786622782137,0.42314503285048655,0.8034095888894422,0.5218594882193411,0.40264827406388837
0.5273,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.996043385825806,6.0,78.0,5.0,20.0,0.0017693137180019858,0.47927337991692376,1.0,0.6205213505498136,0.3194202384863594
0.7282,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9486891625590744,7.5,83.0,5.0,33.0,0.8399306613419414,0.29245976497043646,0.37907548519191014,0.5133083818697564,0.814182980338707
0.9691,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.9094985041924737,8.0,26.0,43.0,15.0,0.28515902097279566,0.19942679009126718,0.9714146919771703,0.40281199007950874,0.5721649610903945
0.9273,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.5140121102843387,4.5,35.0,14.0,15.0,0.14872635884549956,0.287537424530073,0.9436150802676705,0.5003097888801761,0.677954580617478
0.36,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.797260083014944,10.5,100.0,5.0,42.0,0.23501774344248455,0.5662353330693415,0.6183780490692846,0.6608439141228729,0.3089640091901985
0.9682,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.3953404347774887,6.0,67.0,5.0,22.0,0.12688483222078867,0.40810797638690743,1.0,0.8678441536753952,0.3417787241322168
0.4536,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.818363626290925,6.5,79.0,5.0,34.0,0.23991194698276075,0.41043402092197234,0.9527509880614665,0.6879794720930298,0.2785528438556902
0.8127,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.718237392193583,6.5,75.0,5.0,26.0,0.0005618878911372582,0.29567158719623865,0.9320624349758154,0.6451344882066424,0.29297878726803267
0.5955,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.849582424533585,9.5,29.0,18.0,15.0,0.2727852172911496,0.5528753343591387,1.0,0.7029942123153007,0.47978806357737336
0.8436,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.403095832324771,11.0,87.0,5.0,37.0,0.22174584725684493,0.20764296283216188,0.7228560065416966,0.844302437070055,0.3209995670957546
0.0945,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.4538134011451382,11.0,91.0,5.0,36.0,0.7885861131607613,0.8196444648770104,0.2915045803615032,0.3106320728464236,0.8359352685393492
0.1391,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.3913333535886983,6.5,53.0,8.0,30.0,0.802909031501083,0.6938483810731665,0.3632263441682585,0.4259916443520111,0.8715322339325303
0.2255,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.079630462755238,3.5,66.0,9.0,27.0,0.28993577150879213,0.6346630921693811,1.0,0.9340322029694829,0.23399444525413632
0.77,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.7108828904087905,10.0,37.0,21.0,18.0,0.18964712603070372,0.2844318897425815,1.0,0.5967072720952242,0.38491692283751083
0.3136,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9673513729560594,7.0,26.0,44.0,21.0,0.24909237027175812,0.44181669513146826,0.9101630551189722,0.49264159544081776,0.2770251353925906
0.6527,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.948701229686156,6.5,66.0,5.0,30.0,0.15818505371253055,0.256485107629594,0.744956597162811,0.6522972075388872,0.27629231898755424
0.0773,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0461027792700044,7.5,53.0,9.0,33.0,0.06584583972600494,0.5942893346665331,1.0,1.0,0.11014351731829133
0.5564,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.975521478302308,7.5,55.0,8.0,30.0,0.7100750623942225,0.43886999773411894,0.3078664819100282,0.35902029871142693,0.7316314266354716
0.8355,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9495306169442986,6.5,50.0,5.0,17.0,0.19855942122165,0.3684135336205837,1.0,0.6767015061962224,0.5404282697455108
0.6573,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4718975589353926,4.5,33.0,10.0,15.0,0.26925481784600036,0.4426314843170106,1.0,0.3954342511857343,0.530323496972961
0.2909,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7586319170009738,9.0,54.0,10.0,23.0,0.16334058145356828,0.38957846587863365,0.7905935140580324,0.5333125448730518,0.3653739585689609
0.4655,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.101739635385993,3.5,90.0,5.0,23.0,0.22963873569446147,0.5839297043311186,0.7539381037845355,0.44540547368755623,0.4385356576189733
0.5591,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.8582693722051624,6.5,86.0,5.0,29.0,0.9310848090602161,0.5703640513288588,0.34947089889298766,0.39505540078546586,0.725021458697028
0.3545,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.54171334372628,5.5,81.0,5.0,44.0,0.10306115557253637,0.6731902680314029,0.674531049972431,0.7962156765424119,0.2708196325904429
0.0127,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.797712930114572,10.0,66.0,6.0,33.0,0.1344861494775315,0.7294013133200353,1.0,0.8779717480020105,0.20156697986237826
0.6464,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.7939103681692055,5.5,20.0,64.0,15.0,0.19151955120300618,0.3134947517510863,1.0,0.4658898798955011,0.5381356176608251
0.7391,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.47887322089505757,8.0,37.0,30.0,18.0,0.14796521252290462,0.14715256645971775,0.8253535847198968,0.37075437194346583,0.5107651645163338
0.5218,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.7468232940321156,7.0,49.0,12.0,29.0,0.006621103791800531,0.4462919980866714,1.0,0.8641746385076298,0.21416236122811966
0.7709,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.460177145884149,11.0,85.0,5.0,31.0,0.25594025862880115,0.22302970481545747,0.8786088810485763,0.7505826452477583,0.26893792171952924
0.2591,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1285374061683704,11.0,59.0,5.0,28.0,0.07304779819607293,0.64768643733147,0.9547848261426927,0.6188612423069826,0.21674282853691834
0.0782,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.46996648263905727,9.5,48.0,5.0,26.0,0.24117825092644685,0.6946793534907473,0.8769931161737082,0.7754462635240343,0.22691177977495436
0.0864,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.7624291048913359,10.0,22.0,49.0,15.0,0.7856722438436112,0.6365169802864613,1.0,0.41912543093099586,0.583105283042922
0.6418,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.5493360621786967,8.0,16.0,23.0,15.0,0.042096240768527304,0.581174643124597,1.0,0.8375180586366179,0.4634630738241048
0.5009,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.019290754141845,9.5,23.0,29.0,15.0,0.02074697858418373,0.5854436289742966,1.0,0.5381166809480395,0.5422146531035982
0.9064,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.09376669917204,5.0,39.0,19.0,16.0,0.05785756261809272,0.35787722440097114,1.0,0.3874612287667899,0.466729222868853
0.7436,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.642696755885904,8.0,79.0,5.0,40.0,0.010378261225922392,0.31366587949272173,0.8218033104708505,0.8225521837109037,0.25110458262821395
0.87,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.4225649897217552,8.0,95.0,5.0,38.0,0.22713177595605222,0.24222739281073713,0.702874539924596,0.8913529277135138,0.3461489029008943
0.0918,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.352439412529543,8.5,58.0,5.0,37.0,0.21770306790072064,0.6208100746955715,0.7951520843088288,0.8345586475287586,0.24309245411775027
0.0418,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.3233732434100114,7.0,40.0,6.0,26.0,0.2583155503157337,0.6395859633902933,0.81398551615986,0.5962444271321133,0.16964304197193134
0.5582,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.9971750059995776,4.0,32.0,19.0,15.0,0.21759438285851923,0.5044780885413921,1.0,0.5012063884095168,0.5736837711086298
0.8118,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.974543507710922,10.5,56.0,5.0,23.0,0.24417715711308408,0.2844197792492831,1.0,0.8823925545475914,0.2543717299829028
0.3409,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.7482152727592684,11.0,17.0,64.0,15.0,0.2138459598903364,0.5772181600447552,1.0,0.773052899308943,0.44943618458870216
0.8036,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.105715807132468,6.5,34.0,24.0,15.0,0.2364591878830709,0.2747153866393538,1.0,0.4362839779308333,0.5420781464006802
0.7718,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0266429549086715,4.0,64.0,5.0,25.0,0.24329964222417988,0.35542841459088637,0.8549622334333699,0.6549788337115664,0.2744909904023333
0.4727,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7346231142857405,8.5,56.0,5.0,17.0,0.27038354502294404,0.5195827877954186,0.8901420433273636,0.4750333133094735,0.5371555197046514
0.1955,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.899462815405913,9.0,47.0,10.0,28.0,0.0830798917302703,0.6557538156835078,1.0,0.9611784870953756,0.1498575991910458
0.2673,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.7431904558288784,9.5,91.0,5.0,36.0,0.12234891614197929,0.5656269189406997,0.5061297444210434,0.6308004178629796,0.3521473882197193
0.5191,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.48838044650135,3.5,77.0,5.0,37.0,0.804310941987737,0.3579183577462358,0.2563833332950235,0.4924200976776978,0.8602570135828178
0.7982,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0125397102198725,3.0,20.0,69.0,15.0,0.2270939589832484,0.26331447145623676,1.0,0.5782583184406496,0.5642029877785434
0.7709,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.181771102664926,8.0,41.0,21.0,21.0,0.06977846830292683,0.17044423513445406,1.0,0.8523444907854821,0.22244667853497713
0.9845,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.353801786103602,8.5,94.0,5.0,44.0,0.039444311846288715,0.3364995446248551,1.0,1.0,0.2760757402532239
0.4727,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.003032725783264,11.0,98.0,5.0,48.0,0.2597701643169351,0.5749379801591434,0.6778159922007728,0.8911890799705128,0.2971597559507844
0.0918,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.4517002901139056,9.0,47.0,6.0,30.0,0.2572338876534203,0.649292219774691,0.7376778744676825,0.5621386307718178,0.19816840675048114
0.2036,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.795481181459714,3.0,16.0,41.0,15.0,0.044187582262581904,0.7429821191976745,0.9987874388834307,0.374967902131888,0.5354355884029547
0.7027,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6123824176385613,5.5,23.0,49.0,16.0,0.2863323402647774,0.30301248324070273,1.0,0.8274043253361031,0.5071246468084094
0.7936,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.3380185796663286,4.0,55.0,9.0,26.0,0.10344924917127979,0.33635080338677625,1.0,0.9434408883560329,0.19868765336904098
0.7927,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.31394212276606986,5.0,70.0,5.0,23.0,0.019568584130745303,0.1613113361281241,0.95619484335963,0.7068606762411561,0.30318295882760843
0.5518,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.1809476092091313,11.0,65.0,5.0,29.0,0.10916362825875642,0.4841470792506395,1.0,0.8678606417500178,0.25232322516878447
0.4773,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2553812604001284,7.5,58.0,5.0,24.0,0.7920347379832795,0.5356641254681643,0.3946308039081984,0.13542071625903385,0.8215922769830514
0.2364,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0054591720311445,3.5,49.0,11.0,26.0,0.734006170916502,0.5801268181146815,0.2646589015970965,0.28248708988720816,0.9484123547066641
0.1491,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9185053487146544,5.0,61.0,11.0,32.0,0.055118393727466075,0.46551910756888615,0.9962928383982276,0.6197559557743024,0.23735231669567164
0.4445,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9820511436163452,9.5,26.0,59.0,19.0,0.19453303075885925,0.364262023495847,0.9840929142119385,0.595691835265108,0.3651317572661741
0.2818,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8652028394816523,10.0,48.0,16.0,24.0,0.16340144696231163,0.4472816417260189,0.7494309787749401,0.518158860709294,0.3389308961508184
0.9173,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.710289246056518,7.0,76.0,5.0,26.0,0.29118355183348765,0.4898362868454933,1.0,0.9360562441416488,0.24760061007347883
0.9891,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.357613065148798,6.0,99.0,5.0,52.0,0.2912259738729365,0.25252405430045555,0.7120566107336622,1.0,0.3527598662638343
0.4118,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.1355026954471112,6.5,62.0,5.0,28.0,0.9916614473187939,0.548010599233383,0.42991944576113295,0.3882694673477234,0.9493351473228295
0.6491,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.2112242485363636,10.0,39.0,5.0,15.0,0.2735520520662508,0.5068080088693381,1.0,0.5309620492578877,0.5645986179627304
0.5345,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.708075045361297,3.5,63.0,5.0,25.0,0.28318791836864327,0.4740391790218107,0.9133621674862732,0.5615800912860813,0.34473586914658977
0.6591,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.796110056565683,9.0,36.0,20.0,22.0,0.022439588567878144,0.34633418096634705,1.0,0.7825335465041733,0.24871649612778313
0.7782,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.580096458990496,6.0,88.0,9.0,27.0,0.02672238599803961,0.3167074013267287,0.6896683876923452,0.5458531118392828,0.3594777244195048
0.4618,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.074760776835026,9.5,91.0,5.0,34.0,0.2296839122172194,0.5341518224902674,0.9356350551733582,0.8075084212311826,0.26572914031588446
0.6755,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0557751100455244,9.0,50.0,16.0,24.0,0.04800558540341637,0.31763948440096335,0.7868579801210361,0.582591943160068,0.3381859517987706
0.31,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.4286224388509057,8.5,72.0,5.0,38.0,0.2796969065322037,0.4877541352248861,1.0,1.0,0.17871095406181972
0.6082,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9589844175525323,10.5,76.0,5.0,28.0,0.03537382537920725,0.3164817680241193,0.9786972017719929,0.6821119122895419,0.36327399263156424
0.67,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5367097173684815,10.5,90.0,5.0,20.0,0.23737464321024726,0.4055899343882162,0.9165331070146795,0.6592645460000234,0.43982149921997427
0.3682,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4705473385102483,5.5,49.0,5.0,16.0,0.1529154159186233,0.5964957389428743,0.8919083566380034,0.32775748958936757,0.5965075604944877
0.2291,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7958886600351494,3.5,39.0,20.0,16.0,0.27126777222994036,0.6961415377380068,1.0,0.7094206160179565,0.43535725058622404
0.9409,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.9009186692285043,10.0,82.0,5.0,30.0,0.2878722640569631,0.1540628312120752,0.9296581166200862,0.661480192139316,0.23072655913203538
0.6264,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.40061317284227405,3.5,25.0,25.0,15.0,0.27764958574147736,0.4350706778011496,1.0,0.7109197908306569,0.4960479651553126
0.6973,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.157089597829029,5.0,77.0,5.0,36.0,0.914895826068497,0.36574185056162223,0.27159651822035846,0.2931126795248553,0.8725853322720504
0.3064,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.7230196441176995,9.0,99.0,5.0,42.0,0.2617383577180061,0.5278217220833082,0.9073621572605591,0.8141730223914513,0.3197669349502272
0.0182,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.293382174763745,5.5,56.0,5.0,23.0,0.04177897671723618,0.9124643365821862,1.0,0.763455129486584,0.25634353487501577
0.7773,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.9931096582567462,11.0,74.0,5.0,27.0,0.07822493242743922,0.32219997480536033,0.9917128522828774,0.4956216594549123,0.28585316090384755
0.5109,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3635399896876836,6.0,42.0,5.0,15.0,0.15148852515814437,0.5918935665708667,0.8495436755021405,0.3344996613229445,0.6288083691523286
0.5918,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.8957055251251616,7.5,35.0,18.0,15.0,0.2848133243889626,0.46533248721581977,1.0,0.7544914036127582,0.5168830288703593
0.6227,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.9423651607124262,8.5,46.0,14.0,27.0,0.795182811995728,0.3753047182527248,0.3081942326252177,0.39789808301157814,0.6959341584997294
0.6991,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.36390521429032807,9.0,96.0,5.0,33.0,0.001626561449009134,0.23436778127176872,1.0,1.0,0.2701678288406996
0.1227,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.590966679889772,6.0,39.0,16.0,27.0,0.052619944933700424,0.5791385560209817,1.0,0.9512833124637442,0.10399028919025011
0.5136,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.8413843865601234,7.5,72.0,5.0,25.0,0.06252110030439162,0.5766609171043567,1.0,0.9143898606328368,0.10056268616302727
0.9209,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7110988788658134,7.5,38.0,22.0,22.0,0.10094096167339012,0.05485534719860441,1.0,1.0,0.19510926054686678
0.5391,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.9419205583978436,3.5,44.0,15.0,15.0,0.0339113627965007,0.4830798511084772,1.0,0.7922881594053038,0.5750891573690292
0.7545,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.92996672110645,3.0,32.0,41.0,20.0,0.2846771238859796,0.25283494533119544,1.0,0.8410925243138164,0.25707791338484043
0.8836,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.9021741290132144,7.5,64.0,9.0,29.0,0.0441301395693664,0.2770345531021524,0.7784981990736283,0.5079336447431151,0.21385281984346416
0.9173,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.693031141657736,6.0,53.0,5.0,23.0,0.004879366409045405,0.3506865179604707,1.0,0.8382640611965103,0.21704567889177456
0.5409,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.239468237801505,4.5,70.0,5.0,32.0,0.19224963047836724,0.4402445709716005,0.8302868156960886,0.7460020700868385,0.33015259088192483
0.1491,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7271422218145733,8.5,28.0,22.0,17.0,0.7552278233351308,0.7338581864190269,0.43246218432510186,0.24886977504758068,0.924514437604596
0.8664,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.268018683421575,3.5,42.0,20.0,16.0,0.27744029994114416,0.34893260416543703,1.0,0.8697751156494519,0.43815790619221856
0.5336,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.158843220608007,6.0,100.0,5.0,31.0,0.2715203793707296,0.32661265407234397,0.7461261176389332,0.5773847459380693,0.29102946677867386
0.0518,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.401367382945,7.0,54.0,5.0,21.0,0.17148214104839127,0.9095063764970445,0.6397862735229775,0.3527946287909466,0.46915970763055403
0.7073,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.3133144142352453,5.0,65.0,5.0,34.0,0.023867781601520532,0.2980345402809387,0.8860138873241373,0.7438031132143926,0.17392250383342306
0.2564,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.5099056790271326,4.0,17.0,29.0,15.0,0.8248801722129189,0.7892346633496291,0.6572881535747382,0.08117704473404769,1.0
0.5218,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.42384020519596,10.5,15.0,37.0,15.0,0.26949735528597796,0.7123352035013114,1.0,0.8065782893489007,0.48263269601509573
0.8564,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.750518459119406,5.5,97.0,5.0,30.0,0.1377794042647767,0.18428626523384928,0.770119410594558,0.5895067745813206,0.42604773594285683
0.2527,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.536263383961565,8.0,71.0,6.0,37.0,0.27613383678138925,0.6710869199331716,0.6524616691182236,0.837037288645062,0.23405603174581086
0.4682,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.956919042162201,6.5,77.0,5.0,23.0,0.28751441608800576,0.5556544023452566,1.0,0.5718156533108815,0.34813572701519163
0.1982,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.056240548665762,3.0,20.0,60.0,15.0,0.08377359696813691,0.6429856389868115,0.896859989111806,0.3474710644779496,0.5984845521106966
0.2573,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4721829147973984,4.0,56.0,5.0,25.0,0.23243334340911553,0.6938689349740518,0.9281688783088359,0.6084559532821716,0.2320715450474395
0.08,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.7494225355600608,3.0,66.0,5.0,31.0,0.03556382154561677,0.65744724840431,0.7689035504103733,0.7101839987686772,0.26429258736447847
0.4482,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.20694569940443,8.0,78.0,5.0,45.0,0.9234543589992423,0.5396180675257375,0.27331763214944604,0.5920730146750726,1.0
0.5982,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.209094310572852,10.0,29.0,48.0,25.0,0.8886919210638231,0.3137062288565813,0.3681175970618681,0.33365733601619674,0.7307371783927654
0.1936,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.2958988717728155,7.0,15.0,26.0,15.0,0.18682679584080347,0.8560558589575774,1.0,0.7229726168036655,0.3722523910929353
0.6364,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0608787924181255,11.0,27.0,38.0,16.0,0.21409766659414708,0.3338739272213592,1.0,0.519740071395702,0.4365977132119263
0.9673,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.1236259289772264,6.0,69.0,5.0,32.0,0.8588007504429656,0.2067350173792517,0.3204646063251958,0.3680145802165177,0.9220891312152575
0.78,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.4055784792894594,5.0,22.0,56.0,15.0,0.2566173228509596,0.3187082535717154,1.0,0.7786076324667645,0.5156038527937297
0.0945,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.080774675256625,3.5,77.0,5.0,45.0,0.021792099043901392,0.6063245667864613,1.0,1.0,0.26206005760843115
0.38,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.162186889472906,7.0,26.0,10.0,15.0,0.16183208173855007,0.7520175970291275,1.0,0.3195085231420368,0.5665067287481165
0.1764,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.7584184058080323,8.5,46.0,5.0,21.0,0.28973676617675254,0.7834122018412092,1.0,0.8999578706116375,0.3279412399222338
